verdict,line,operator,type,from,to,ref,excessKm,tripsDay,wasteDayKm,ratio,lat,lng,reason
"אמיתי","30","דן בדרום","detour","קרית חינוך מרחבים","צומת רנן","130","1.365","6","8.2","2.51","31.31659","34.59675","המסלול מתקדם ואז חוזר 358 מ' לאחור על צירו (לולאה/הלוך-חזור) בין ""קרית חינוך מרחבים"" ל-""צומת רנן"", בעוד קו 130 עובר ישר — נסיעה כפולה על אותו כביש, עיקוף אמיתי. המדידה מתחילה מתחנת-התקלה, ללא תלות בכיוון-ההגעה הקודם."
"אמיתי","411","אלקטרה אפיקים תחבורה","detour","'מיצד ב","פני קדם","364","1.339","2","2.7","2.69","31.58958","35.1893","הקו סוטה הצידה עד 566 מ' מהקו הישר (מול ~246 מ' בקו 364) — בליטה ייחודית, עיקוף אמיתי."
"אמיתי","18","מועצה אזורית גולן","detour","אזור תעשייה בני יהודה","אזור תעשייה בני יהודה","24","1.242","4","5","1.92","32.80163","35.71606","המסלול מתקדם ואז חוזר 238 מ' לאחור על צירו (לולאה/הלוך-חזור) בין ""אזור תעשייה בני יהודה"" ל-""אזור תעשייה בני יהודה"", בעוד קו 24 עובר ישר — נסיעה כפולה על אותו כביש, עיקוף אמיתי. המדידה מתחילה מתחנת-התקלה, ללא תלות בכיוון-ההגעה הקודם."
"אמיתי","140","מטרופולין","detour","אשלים מרכז","צומת אשלים","44","1.211","2","2.4","2.42","30.9633","34.70088","המסלול מתקדם ואז חוזר 576 מ' לאחור על צירו (לולאה/הלוך-חזור) בין ""אשלים מרכז"" ל-""צומת אשלים"", בעוד קו 44 עובר ישר — נסיעה כפולה על אותו כביש, עיקוף אמיתי. המדידה מתחילה מתחנת-התקלה, ללא תלות בכיוון-ההגעה הקודם."
"אמיתי","62","אגד","detour","הכובשים/החלוצים","הכובשים/החיטה","5","1.183","1","1.2","2.83","32.56627","34.94461","הקו סוטה הצידה עד 540 מ' מהקו הישר (מול ~10 מ' בקו 5) — בליטה ייחודית, עיקוף אמיתי."
"אמיתי","36","מטרופולין","detour","צומת משאבים","קיבוץ משאבי שדה","45","1.1","1","1.1","1.54","31.01056","34.78095","סטייה של 1.1 ק""מ במקטע אחד מול קו 45 (יחס פי 1.54) — מסלול עוקף ממשי, עיקוף אמיתי."
"אמיתי","18","מועצה אזורית גולן","detour","אזור תעשייה בני יהודה","אזור תעשייה בני יהודה","19","1.084","2","2.2","1.79","32.80163","35.71606","המסלול מתקדם ואז חוזר 237 מ' לאחור על צירו (לולאה/הלוך-חזור) בין ""אזור תעשייה בני יהודה"" ל-""אזור תעשייה בני יהודה"", בעוד קו 19 עובר ישר — נסיעה כפולה על אותו כביש, עיקוף אמיתי. המדידה מתחילה מתחנת-התקלה, ללא תלות בכיוון-ההגעה הקודם."
"אמיתי","52","אגד","detour","שדרות בן גוריון/בית ספר החורש","שדרות בן גוריון/הכרכום","3","1.021","2","2","2.48","32.58263","34.95104","סטייה של 1.0 ק""מ במקטע אחד מול קו 3 (יחס פי 2.48) — מסלול עוקף ממשי, עיקוף אמיתי."
"אמיתי","784","אקסטרה ירושלים","detour","שפע חיים/שדרות גולדה מאיר","הרטום/שדרות גולדה מאיר","54","0.987","1","1","6.16","31.79877","35.21328","הקו סוטה הצידה עד 460 מ' מהקו הישר (מול ~2 מ' בקו 54) — בליטה ייחודית, עיקוף אמיתי."
"אמיתי","18","תנופה","detour","אלקנה/שכונה צפונית","שיר השירים/גינת האגוז","20","0.961","4","3.8","1.48","32.11825","35.03897","סטייה של 1.0 ק""מ במקטע אחד מול קו 20 (יחס פי 1.48) — מסלול עוקף ממשי, עיקוף אמיתי."
"לא ניתן להשוואה","93","אגד","detour","צופית/חסידה","חוחית/צופית","701","0.948","2","1.9","7.03","32.56388","34.96299","לא ניתן להשוואה — כיווניות מנוגדת: קו 701 מגיע לתחנה המשותפת מצד מנוגד (הפרש וקטור הגעה 122° > 90°). הקווים על צירי נסיעה הפוכים — אין בסיס להשוואת מרחקים."
"אמיתי","882","סופרבוס","detour","הסינמטק/דרך חברון","דרך חברון/מרים החשמונאית","232","0.943","2","1.9","1.77","31.7706","35.2255","הקו סוטה הצידה עד 513 מ' מהקו הישר (מול ~120 מ' בקו 232) — בליטה ייחודית, עיקוף אמיתי."
"אמיתי","73","ש.א.מ","detour","גלעד/דרך הגליל","אזור תעשיה ב","76","0.935","1","0.9","1.94","32.7012","35.33066","המסלול מתקדם ואז חוזר 219 מ' לאחור על צירו (לולאה/הלוך-חזור) בין ""גלעד/דרך הגליל"" ל-""אזור תעשיה ב"", בעוד קו 76 עובר ישר — נסיעה כפולה על אותו כביש, עיקוף אמיתי. המדידה מתחילה מתחנת-התקלה, ללא תלות בכיוון-ההגעה הקודם."
"אמיתי","63","אגד","detour","כנפי נשרים/ברק","גאולים/כנפי נשרים","1","0.903","1","0.9","6.22","32.56047","34.96412","סטייה של 0.9 ק""מ במקטע אחד מול קו 1 (יחס פי 6.22) — מסלול עוקף ממשי, עיקוף אמיתי."
