verdict,line,operator,type,from,to,ref,excessKm,tripsDay,wasteDayKm,ratio,lat,lng,reason
"לא ניתן להשוואה","148","אקסטרה","detour","פארק תעשיות","עירייה","143","0.41","2","0.8","1.38","32.28571","34.87252","לא ניתן להשוואה — סדר תחנות שונה: קו 143 עובר דרך 1 תחנת/ות ביניים נוספת/ות בין ""פארק תעשיות"" ל-""עירייה"" (A→…→B), בעוד הקו הנבדק עובר ישירות. זו בחירת תכנון מסלול, לא עיקוף — אין משמעות ליחס-מרחקים."
"לא ניתן להשוואה","4","סופרבוס","detour","סחרוב","ת. מרכזית חוף הכרמל/הורדה","123","0.4","87","34.8","1.85","32.7909","34.95867","לא ניתן להשוואה — קו 123 מתחיל/מסיים את מסלולו באחת התחנות (תחנת-קצה), ולכן אינו מסדרון-מעבר תקף: הוא עושה משם קפיצה ישירה קצרה, בעוד הקו הנבדק עשוי לבצע לולאת-שירות לגיטימית באמצע מסלולו. אין בסיס להשוואת מרחקים."
"לא ניתן להשוואה","940","דן","detour","הרב כהנמן/רבי עקיבא","ביה''ס אהל צביה/בן זומא","939","0.392","1","0.4","1.69","32.08532","34.83971","לא ניתן להשוואה — קו 939 מתחיל/מסיים את מסלולו באחת התחנות (תחנת-קצה), ולכן אינו מסדרון-מעבר תקף: הוא עושה משם קפיצה ישירה קצרה, בעוד הקו הנבדק עשוי לבצע לולאת-שירות לגיטימית באמצע מסלולו. אין בסיס להשוואת מרחקים."
"לא ניתן להשוואה","85","קווים","detour","העליה /שרת","וייצמן/סוקולוב","138","0.381","21","8","2.53","32.31597","34.92854","לא ניתן להשוואה — כיווניות מנוגדת: קו 138 מגיע לתחנה המשותפת מצד מנוגד (הפרש וקטור הגעה 130° > 90°). הקווים על צירי נסיעה הפוכים — אין בסיס להשוואת מרחקים."
"לא ניתן להשוואה","130","דן בדרום","detour","צאלים/מרכז הקיבוץ","קבוץ צאלים","14","0.375","9","3.4","1.58","31.20382","34.5346","לא ניתן להשוואה — קו 14 מתחיל/מסיים את מסלולו באחת התחנות (תחנת-קצה), ולכן אינו מסדרון-מעבר תקף: הוא עושה משם קפיצה ישירה קצרה, בעוד הקו הנבדק עשוי לבצע לולאת-שירות לגיטימית באמצע מסלולו. אין בסיס להשוואת מרחקים."
"אמיתי","84","סופרבוס","selfloop","פיק''א/רוטשילד","גולני/המגינים","95","0.375","1","0.4","","32.79254","35.53177","הקו מקיף ~2.13 סיבובים (כיכר/לולאה) בין ""פיק''א/רוטשילד"" ל-""גולני/המגינים"", בעוד קו 95 עובר אותו ב-0.6 ק""מ — סיבוב מיותר, עיקוף אמיתי."
"אמיתי","8","אלקטרה אפיקים","selfloop","שדרות הרצל/עוזי חיטמן","שדרות הציונות/שדרות הרצל","177","0.363","8","2.9","","31.86303","34.72601","הקו מקיף ~1.5 סיבובים (כיכר/לולאה) בין ""שדרות הרצל/עוזי חיטמן"" ל-""שדרות הציונות/שדרות הרצל"", בעוד קו 177 עובר אותו ב-0.3 ק""מ — סיבוב מיותר, עיקוף אמיתי."
"לא ניתן להשוואה","80","מטרופולין","detour","צבר/פלמ''ח","יהודה/המכבים","2","0.361","1","0.4","1.52","31.25398","35.21561","לא ניתן להשוואה — סדר תחנות שונה: קו 2 עובר דרך 1 תחנת/ות ביניים נוספת/ות בין ""צבר/פלמ''ח"" ל-""יהודה/המכבים"" (A→…→B), בעוד הקו הנבדק עובר ישירות. זו בחירת תכנון מסלול, לא עיקוף — אין משמעות ליחס-מרחקים."
"לא ניתן להשוואה","469","אלקטרה אפיקים תחבורה","detour","ויצמן/גבעת שאול","שדרות שז''ר/בנייני האומה","465","0.347","5","1.7","1.48","31.79035","35.19753","לא ניתן להשוואה — קו 465 מתחיל/מסיים את מסלולו באחת התחנות (תחנת-קצה), ולכן אינו מסדרון-מעבר תקף: הוא עושה משם קפיצה ישירה קצרה, בעוד הקו הנבדק עשוי לבצע לולאת-שירות לגיטימית באמצע מסלולו. אין בסיס להשוואת מרחקים."
"לא ניתן להשוואה","24","אגד","detour","צומת תל חי","מכללת תל חי קמפוס מזרחי","10","0.314","6","1.9","1.6","33.23515","35.58012","לא ניתן להשוואה — סדר תחנות שונה: קו 10 עובר דרך 1 תחנת/ות ביניים נוספת/ות בין ""צומת תל חי"" ל-""מכללת תל חי קמפוס מזרחי"" (A→…→B), בעוד הקו הנבדק עובר ישירות. זו בחירת תכנון מסלול, לא עיקוף — אין משמעות ליחס-מרחקים."
"לא ניתן להשוואה","100","אגד","detour","היכל התרבות/זבוטינסקי","הכרמל/הרצל","20","0.313","76","23.8","1.57","31.96267","34.80006","לא ניתן להשוואה — מקטע קצר (0.6 ק""מ) ואין קו שחולק את ציר-הכניסה; מסלולי הגעה שונים לצומת, ההשוואה אינה תקפה."
"כיסוי לגיטימי","361","אלקטרה אפיקים תחבורה","detour","חטמ''ר עציון","מגיני הגוש/כ''ח באייר","371","0.309","8","2.5","1.36","31.64837","35.12358","וריאנט של הקו עוצר בתחנות-ביניים בתוך המקטע (כיסוי שכונה) — לא עיקוף מיותר, אלא בחירת מסלול שמשרתת נוסעים."
"כיסוי לגיטימי","362","אלקטרה אפיקים תחבורה","detour","חטמ''ר עציון","מגיני הגוש/כ''ח באייר","371","0.309","9","2.8","1.36","31.64837","35.12358","וריאנט של הקו עוצר בתחנות-ביניים בתוך המקטע (כיסוי שכונה) — לא עיקוף מיותר, אלא בחירת מסלול שמשרתת נוסעים."
"אמיתי","89","אגד","detour","האצ''ל ג","האצל","88","0.306","1","0.3","1.61","33.21901","35.56764","הקו נוסע פי 1.61 מקו 88 בין אותן שתי התחנות (אותו ציר כניסה, סטייה 0°) — עיקוף אמיתי."
"רעש","356","סופרבוס","detour","מתנ''ס הר יונה/יקינטון","יקינטון/ניצן","36","0.303","18","5.5","2.27","32.72485","35.33705","הקו הנבדק נוסע 541 מ' — כמעט בדיוק המרחק האווירי (488 מ') בין התחנות, כלומר מסלול ישיר. אין עיקוף; ה""עודף"" נובע ממדידת קו-הייחוס קצרה מהרגיל."
"רעש","356","סופרבוס","detour","מתנ''ס הר יונה/יקינטון","יקינטון/ניצן","36","0.303","3","0.9","2.27","32.72485","35.33705","הקו הנבדק נוסע 541 מ' — כמעט בדיוק המרחק האווירי (488 מ') בין התחנות, כלומר מסלול ישיר. אין עיקוף; ה""עודף"" נובע ממדידת קו-הייחוס קצרה מהרגיל."
"רעש","340","נסיעות ותיירות","detour","מתנ''ס הר יונה/יקינטון","יקינטון/ניצן","36","0.303","3","0.9","2.27","32.72485","35.33705","הקו הנבדק נוסע 541 מ' — כמעט בדיוק המרחק האווירי (488 מ') בין התחנות, כלומר מסלול ישיר. אין עיקוף; ה""עודף"" נובע ממדידת קו-הייחוס קצרה מהרגיל."
"רעש","2","ש.א.מ","detour","מתנ''ס הר יונה/יקינטון","יקינטון/ניצן","36","0.303","28","8.5","2.27","32.72485","35.33705","הקו הנבדק נוסע 541 מ' — כמעט בדיוק המרחק האווירי (488 מ') בין התחנות, כלומר מסלול ישיר. אין עיקוף; ה""עודף"" נובע ממדידת קו-הייחוס קצרה מהרגיל."
"רעש","16","ש.א.מ","detour","מתנ''ס הר יונה/יקינטון","יקינטון/ניצן","36","0.303","25","7.6","2.27","32.72485","35.33705","הקו הנבדק נוסע 541 מ' — כמעט בדיוק המרחק האווירי (488 מ') בין התחנות, כלומר מסלול ישיר. אין עיקוף; ה""עודף"" נובע ממדידת קו-הייחוס קצרה מהרגיל."
"רעש","826","אגד","detour","מתנ''ס הר יונה/יקינטון","יקינטון/ניצן","36","0.303","4","1.2","2.27","32.72485","35.33705","הקו הנבדק נוסע 541 מ' — כמעט בדיוק המרחק האווירי (488 מ') בין התחנות, כלומר מסלול ישיר. אין עיקוף; ה""עודף"" נובע ממדידת קו-הייחוס קצרה מהרגיל."
"רעש","5","ש.א.מ","detour","מתנ''ס הר יונה/יקינטון","יקינטון/ניצן","36","0.303","22","6.7","2.27","32.72485","35.33705","הקו הנבדק נוסע 541 מ' — כמעט בדיוק המרחק האווירי (488 מ') בין התחנות, כלומר מסלול ישיר. אין עיקוף; ה""עודף"" נובע ממדידת קו-הייחוס קצרה מהרגיל."
"רעש","12","ש.א.מ","detour","מתנ''ס הר יונה/יקינטון","יקינטון/ניצן","36","0.303","6","1.8","2.27","32.72485","35.33705","הקו הנבדק נוסע 541 מ' — כמעט בדיוק המרחק האווירי (488 מ') בין התחנות, כלומר מסלול ישיר. אין עיקוף; ה""עודף"" נובע ממדידת קו-הייחוס קצרה מהרגיל."
"רעש","87","ש.א.מ","detour","מתנ''ס הר יונה/יקינטון","יקינטון/ניצן","36","0.303","1","0.3","2.27","32.72485","35.33705","הקו הנבדק נוסע 541 מ' — כמעט בדיוק המרחק האווירי (488 מ') בין התחנות, כלומר מסלול ישיר. אין עיקוף; ה""עודף"" נובע ממדידת קו-הייחוס קצרה מהרגיל."
"רעש","332","נסיעות ותיירות","detour","מתנ''ס הר יונה/יקינטון","יקינטון/ניצן","36","0.303","3","0.9","2.27","32.72485","35.33705","הקו הנבדק נוסע 541 מ' — כמעט בדיוק המרחק האווירי (488 מ') בין התחנות, כלומר מסלול ישיר. אין עיקוף; ה""עודף"" נובע ממדידת קו-הייחוס קצרה מהרגיל."
"לא ניתן להשוואה","5","סופרבוס","detour","דרך חטיבת גולני/האלונים","ששת הימים/הנשיאים","4","0.291","40","11.6","1.64","32.67453","35.24586","לא ניתן להשוואה — קו 4 מתחיל/מסיים את מסלולו באחת התחנות (תחנת-קצה), ולכן אינו מסדרון-מעבר תקף: הוא עושה משם קפיצה ישירה קצרה, בעוד הקו הנבדק עשוי לבצע לולאת-שירות לגיטימית באמצע מסלולו. אין בסיס להשוואת מרחקים."
"אמיתי","4","דן בדרום","selfloop","ת. רכבת שדרות","דרך מנחם בגין/דרך הרב שלום איפרגן","89","0.289","29","8.4","","31.51604","34.58736","הקו מקיף ~1.25 סיבובים (כיכר/לולאה) בין ""ת. רכבת שדרות"" ל-""דרך מנחם בגין/דרך הרב שלום איפרגן"", בעוד קו 89 עובר אותו ב-0.7 ק""מ — סיבוב מיותר, עיקוף אמיתי."
"אמיתי","4א","דן בדרום","selfloop","ת. רכבת שדרות","דרך מנחם בגין/דרך הרב שלום איפרגן","89","0.289","8","2.3","","31.51604","34.58736","הקו מקיף ~1.25 סיבובים (כיכר/לולאה) בין ""ת. רכבת שדרות"" ל-""דרך מנחם בגין/דרך הרב שלום איפרגן"", בעוד קו 89 עובר אותו ב-0.7 ק""מ — סיבוב מיותר, עיקוף אמיתי."
"אמיתי","828","נסיעות ותיירות","selfloop","עיריית נוף הגליל/מנחם אריאב","מנחם אריאב/הפסגות","354","0.286","4","1.1","","32.70137","35.31301","הקו מקיף ~1.8 סיבובים (כיכר/לולאה) בין ""עיריית נוף הגליל/מנחם אריאב"" ל-""מנחם אריאב/הפסגות"", בעוד קו 354 עובר אותו ב-0.7 ק""מ — סיבוב מיותר, עיקוף אמיתי."
"לא ניתן להשוואה","85","נסיעות ותיירות","detour","ח'אלת אל שריף ב","שכונה דרומית ח","91","0.27","1","0.3","1.59","32.8853","35.40365","לא ניתן להשוואה — סדר תחנות שונה: קו 91 עובר דרך 1 תחנת/ות ביניים נוספת/ות בין ""ח'אלת אל שריף ב"" ל-""שכונה דרומית ח"" (A→…→B), בעוד הקו הנבדק עובר ישירות. זו בחירת תכנון מסלול, לא עיקוף — אין משמעות ליחס-מרחקים."
"לא ניתן להשוואה","72","נסיעות ותיירות","detour","ח'אלת אל שריף ב","שכונה דרומית ח","91","0.269","2","0.5","1.59","32.8853","35.40365","לא ניתן להשוואה — סדר תחנות שונה: קו 91 עובר דרך 1 תחנת/ות ביניים נוספת/ות בין ""ח'אלת אל שריף ב"" ל-""שכונה דרומית ח"" (A→…→B), בעוד הקו הנבדק עובר ישירות. זו בחירת תכנון מסלול, לא עיקוף — אין משמעות ליחס-מרחקים."
"אמיתי","7","אגד","detour","נשר/דוכיפת","דוכיפת/עגור","84","0.268","8","2.1","4.95","32.90236","35.29237","הקו נוסע פי 4.95 מקו 84 בין אותן שתי התחנות (אותו ציר כניסה, סטייה 0°) — עיקוף אמיתי."
"אמיתי","1א","אגד","detour","נשר/דוכיפת","דוכיפת/עגור","84","0.268","11","2.9","4.96","32.90236","35.29237","הקו נוסע פי 4.96 מקו 84 בין אותן שתי התחנות (אותו ציר כניסה, סטייה 0°) — עיקוף אמיתי."
"אמיתי","1","אגד","detour","נשר/דוכיפת","דוכיפת/עגור","84","0.268","30","8","4.96","32.90236","35.29237","הקו נוסע פי 4.96 מקו 84 בין אותן שתי התחנות (אותו ציר כניסה, סטייה 0°) — עיקוף אמיתי."
"אמיתי","87","אגד","detour","נשר/דוכיפת","דוכיפת/עגור","84","0.268","2","0.5","4.96","32.90236","35.29237","הקו נוסע פי 4.96 מקו 84 בין אותן שתי התחנות (אותו ציר כניסה, סטייה 0°) — עיקוף אמיתי."
"אמיתי","359","מטרופולין","selfloop","המעפיל/בן גוריון","בן גוריון/בית ספר בן עטר","47","0.261","5","1.3","","31.072","35.03598","הקו מקיף ~3.03 סיבובים (כיכר/לולאה) בין ""המעפיל/בן גוריון"" ל-""בן גוריון/בית ספר בן עטר"", בעוד קו 47 עובר אותו ב-0.3 ק""מ — סיבוב מיותר, עיקוף אמיתי."
"אמיתי","459","מטרופולין","selfloop","המעפיל/בן גוריון","בן גוריון/בית ספר בן עטר","47","0.261","4","1","","31.072","35.03598","הקו מקיף ~3.03 סיבובים (כיכר/לולאה) בין ""המעפיל/בן גוריון"" ל-""בן גוריון/בית ספר בן עטר"", בעוד קו 47 עובר אותו ב-0.3 ק""מ — סיבוב מיותר, עיקוף אמיתי."
"לא ניתן להשוואה","320","קווים","detour","חניון תח''צ/שדרות בית הלל","אור החיים/חפץ חיים","220","0.255","22","5.6","1.5","31.93422","35.04903","לא ניתן להשוואה — קו 220 מתחיל/מסיים את מסלולו באחת התחנות (תחנת-קצה), ולכן אינו מסדרון-מעבר תקף: הוא עושה משם קפיצה ישירה קצרה, בעוד הקו הנבדק עשוי לבצע לולאת-שירות לגיטימית באמצע מסלולו. אין בסיס להשוואת מרחקים."
"אמיתי","357","מטרופולין","selfloop","בורנשטיין/הרצל","בורנשטיין/אשר סנקר","359","0.25","1","0.3","","30.9885","34.92503","הקו מקיף ~1.15 סיבובים (כיכר/לולאה) בין ""בורנשטיין/הרצל"" ל-""בורנשטיין/אשר סנקר"", בעוד קו 359 עובר אותו ב-0.1 ק""מ — סיבוב מיותר, עיקוף אמיתי."
"לא ניתן להשוואה","80","אגד","detour","העצמאות/הרצל","בית הספר עמיאסף","84","0.248","1","0.2","1.68","31.06806","35.02946","לא ניתן להשוואה — קו 84 מתחיל/מסיים את מסלולו באחת התחנות (תחנת-קצה), ולכן אינו מסדרון-מעבר תקף: הוא עושה משם קפיצה ישירה קצרה, בעוד הקו הנבדק עשוי לבצע לולאת-שירות לגיטימית באמצע מסלולו. אין בסיס להשוואת מרחקים."
"אמיתי","511","נתיב אקספרס","selfloop","שוק עירוני","אליהו פרומצ'נקו/יעקב לוי","522","0.245","13","3.2","","32.96622","35.49699","הקו מקיף ~1.5 סיבובים (כיכר/לולאה) בין ""שוק עירוני"" ל-""אליהו פרומצ'נקו/יעקב לוי"", בעוד קו 522 עובר אותו ב-0.7 ק""מ — סיבוב מיותר, עיקוף אמיתי."
"אמיתי","1","נתיב אקספרס","selfloop","הפלמ''ח/רביצקי","אליהו פרומצ'נקו/יעקב לוי","85","0.245","50","12.3","","32.96393","35.49553","הקו מקיף ~1.47 סיבובים (כיכר/לולאה) בין ""הפלמ''ח/רביצקי"" ל-""אליהו פרומצ'נקו/יעקב לוי"", בעוד קו 85 עובר אותו ב-0.7 ק""מ — סיבוב מיותר, עיקוף אמיתי."
"אמיתי","15","נתיב אקספרס","selfloop","הפלמ''ח/רביצקי","אליהו פרומצ'נקו/יעקב לוי","85","0.245","48","11.8","","32.96393","35.49553","הקו מקיף ~1.47 סיבובים (כיכר/לולאה) בין ""הפלמ''ח/רביצקי"" ל-""אליהו פרומצ'נקו/יעקב לוי"", בעוד קו 85 עובר אותו ב-0.7 ק""מ — סיבוב מיותר, עיקוף אמיתי."
"אמיתי","283","אלקטרה אפיקים","selfloop","נחל רבה/חט''ב גוונים","דרך מנחם בגין/הפרחים","566","0.245","16","3.9","","32.09895","34.96326","הקו מקיף ~1.5 סיבובים (כיכר/לולאה) בין ""נחל רבה/חט''ב גוונים"" ל-""דרך מנחם בגין/הפרחים"", בעוד קו 566 עובר אותו ב-0.4 ק""מ — סיבוב מיותר, עיקוף אמיתי."
"לא ניתן להשוואה","58","אגד","detour","נחמיה/שדרות יעקב","נחמיה/מלאכי","11","0.244","1","0.2","1.4","31.94935","34.81873","לא ניתן להשוואה — סדר תחנות שונה: קו 11 עובר דרך 1 תחנת/ות ביניים נוספת/ות בין ""נחמיה/שדרות יעקב"" ל-""נחמיה/מלאכי"" (A→…→B), בעוד הקו הנבדק עובר ישירות. זו בחירת תכנון מסלול, לא עיקוף — אין משמעות ליחס-מרחקים."
"לא ניתן להשוואה","59","אגד","detour","נחמיה/שדרות יעקב","נחמיה/מלאכי","11","0.244","1","0.2","1.4","31.94935","34.81873","לא ניתן להשוואה — סדר תחנות שונה: קו 11 עובר דרך 1 תחנת/ות ביניים נוספת/ות בין ""נחמיה/שדרות יעקב"" ל-""נחמיה/מלאכי"" (A→…→B), בעוד הקו הנבדק עובר ישירות. זו בחירת תכנון מסלול, לא עיקוף — אין משמעות ליחס-מרחקים."
"אמיתי","251","נתיב אקספרס","detour","העצמאות/יהושפט","ת.מרכזית עכו/דרך הארבעה","4","0.239","25","6","1.62","32.92808","35.07696","הקו נוסע פי 1.62 מקו 4 בין אותן שתי התחנות (אותו ציר כניסה, סטייה 0°) — עיקוף אמיתי."
"אמיתי","78","אלקטרה אפיקים","selfloop","כינרת/נחל קידרון","כינרת/נחל נעמן","74","0.237","1","0.2","","31.78516","34.63413","הקו מקיף ~1.15 סיבובים (כיכר/לולאה) בין ""כינרת/נחל קידרון"" ל-""כינרת/נחל נעמן"", בעוד קו 74 עובר אותו ב-0.3 ק""מ — סיבוב מיותר, עיקוף אמיתי."
"אמיתי","2","אגד","selfloop","ביג כרמיאל/מרכז מסחרי","מעלה כמון/השיש","1","0.227","50","11.3","","32.92665","35.32385","הקו מקיף ~2 סיבובים (כיכר/לולאה) בין ""ביג כרמיאל/מרכז מסחרי"" ל-""מעלה כמון/השיש"", בעוד קו 1 עובר אותו ב-0.5 ק""מ — סיבוב מיותר, עיקוף אמיתי."
"לא ניתן להשוואה","85","נסיעות ותיירות","detour","מע'אר מרכז/806","כנסייה קתולית ג","96","0.221","3","0.7","1.47","32.89083","35.40952","לא ניתן להשוואה — סדר תחנות שונה: קו 96 עובר דרך 1 תחנת/ות ביניים נוספת/ות בין ""מע'אר מרכז/806"" ל-""כנסייה קתולית ג"" (A→…→B), בעוד הקו הנבדק עובר ישירות. זו בחירת תכנון מסלול, לא עיקוף — אין משמעות ליחס-מרחקים."
"אמיתי","804","סופרבוס","detour","בית וגן/שדרות הרצל","בי''ח שערי צדק/בייט","781","0.221","1","0.2","1.36","31.77278","35.18301","הקו נוסע פי 1.36 מקו 781 בין אותן שתי התחנות (אותו ציר כניסה, סטייה 0°) — עיקוף אמיתי."
"אמיתי","750","סופרבוס","detour","בית וגן/שדרות הרצל","בי''ח שערי צדק/בייט","781","0.221","1","0.2","1.36","31.77278","35.18301","הקו נוסע פי 1.36 מקו 781 בין אותן שתי התחנות (אותו ציר כניסה, סטייה 0°) — עיקוף אמיתי."
"אמיתי","551","מטרופולין","detour","ת. רק''ל בלינסון/קניון אבנת","ת.רק''ל שחם/דרך ז'בוטינסקי","66","0.215","2","0.4","1.43","32.09172","34.86587","הקו נוסע פי 1.43 מקו 66 בין אותן שתי התחנות (אותו ציר כניסה, סטייה 0°) — עיקוף אמיתי."
"לא ניתן להשוואה","78","אגד","detour","הפרדס/משמר הגבול","הפרדס/שפק","92","0.208","3","0.6","1.68","32.42659","34.94194","לא ניתן להשוואה — קו 92 מתחיל/מסיים את מסלולו באחת התחנות (תחנת-קצה), ולכן אינו מסדרון-מעבר תקף: הוא עושה משם קפיצה ישירה קצרה, בעוד הקו הנבדק עשוי לבצע לולאת-שירות לגיטימית באמצע מסלולו. אין בסיס להשוואת מרחקים."
"לא ניתן להשוואה","12","אגד","detour","הפרדס/משמר הגבול","הפרדס/שפק","92","0.208","34","7.1","1.68","32.42659","34.94194","לא ניתן להשוואה — קו 92 מתחיל/מסיים את מסלולו באחת התחנות (תחנת-קצה), ולכן אינו מסדרון-מעבר תקף: הוא עושה משם קפיצה ישירה קצרה, בעוד הקו הנבדק עשוי לבצע לולאת-שירות לגיטימית באמצע מסלולו. אין בסיס להשוואת מרחקים."
"לא ניתן להשוואה","16","אגד","detour","הפרדס/משמר הגבול","הפרדס/שפק","92","0.208","19","4","1.68","32.42659","34.94194","לא ניתן להשוואה — קו 92 מתחיל/מסיים את מסלולו באחת התחנות (תחנת-קצה), ולכן אינו מסדרון-מעבר תקף: הוא עושה משם קפיצה ישירה קצרה, בעוד הקו הנבדק עשוי לבצע לולאת-שירות לגיטימית באמצע מסלולו. אין בסיס להשוואת מרחקים."
"לא ניתן להשוואה","13א","אגד","detour","הפרדס/משמר הגבול","הפרדס/שפק","92","0.208","26","5.4","1.68","32.42659","34.94194","לא ניתן להשוואה — קו 92 מתחיל/מסיים את מסלולו באחת התחנות (תחנת-קצה), ולכן אינו מסדרון-מעבר תקף: הוא עושה משם קפיצה ישירה קצרה, בעוד הקו הנבדק עשוי לבצע לולאת-שירות לגיטימית באמצע מסלולו. אין בסיס להשוואת מרחקים."
"כיסוי לגיטימי","56","קווים","selfloop","שאגת אריה 3","חפץ חיים ז","59","0.203","1","0.2","","31.92884","35.04165","וריאנט של הקו עוצר בתחנות-ביניים בתוך המקטע (כיסוי שכונה) — לא עיקוף מיותר, אלא בחירת מסלול שמשרתת נוסעים."
"אמיתי","567","אקסטרה ירושלים","detour","עקיבא אזולאי/גבעת שאול","עקיבא אזולאי/נחום חפצדי","67","0.203","42","8.5","1.43","31.79241","35.19","הקו נוסע פי 1.43 מקו 67 בין אותן שתי התחנות (אותו ציר כניסה, סטייה 0°) — עיקוף אמיתי."
"אמיתי","13","סופרבוס","selfloop","קוממיות/טשרניחובסקי","אבן גבירול/קוממיות","991","0.197","38","7.5","","32.62616","35.32418","הקו מקיף ~1.27 סיבובים (כיכר/לולאה) בין ""קוממיות/טשרניחובסקי"" ל-""אבן גבירול/קוממיות"", בעוד קו 991 עובר אותו ב-0.3 ק""מ — סיבוב מיותר, עיקוף אמיתי."
"אמיתי","13א","סופרבוס","selfloop","קוממיות/טשרניחובסקי","אבן גבירול/קוממיות","991","0.197","12","2.4","","32.62616","35.32418","הקו מקיף ~1.27 סיבובים (כיכר/לולאה) בין ""קוממיות/טשרניחובסקי"" ל-""אבן גבירול/קוממיות"", בעוד קו 991 עובר אותו ב-0.3 ק""מ — סיבוב מיותר, עיקוף אמיתי."
"אמיתי","490","נסיעות ותיירות","selfloop","מסעף תיכון בית ירח לדרום","בית ספר אזורי בית ירח","432","0.194","3","0.6","","32.71444","35.57286","הקו מקיף ~1.23 סיבובים (כיכר/לולאה) בין ""מסעף תיכון בית ירח לדרום"" ל-""בית ספר אזורי בית ירח"", בעוד קו 432 עובר אותו ב-0.2 ק""מ — סיבוב מיותר, עיקוף אמיתי."
"לא ניתן להשוואה","13","אגד","detour","מרפאת זבולון","קריון/יצחק רבין","12","0.184","55","10.1","1.35","32.84521","35.09119","לא ניתן להשוואה — כיווניות מנוגדת: קו 12 מגיע לתחנה המשותפת מצד מנוגד (הפרש וקטור הגעה 128° > 90°). הקווים על צירי נסיעה הפוכים — אין בסיס להשוואת מרחקים."
"אמיתי","852","אגד","selfloop","דרך למרחב/המעלה","יד לבנים/דרך הבנים","3","0.184","40","7.4","","32.47374","34.97016","הקו מקיף ~1.32 סיבובים (כיכר/לולאה) בין ""דרך למרחב/המעלה"" ל-""יד לבנים/דרך הבנים"", בעוד קו 3 עובר אותו ב-0.4 ק""מ — סיבוב מיותר, עיקוף אמיתי."
"אמיתי","98","קווים","detour","שד. בנימין/שלום שבזי","בן צבי/הגר''א","148","0.177","10","1.8","1.36","32.31523","34.85413","הקו נוסע פי 1.36 מקו 148 בין אותן שתי התחנות (אותו ציר כניסה, סטייה 0°) — עיקוף אמיתי."
"אמיתי","605","מטרופולין","detour","שד. בנימין/שלום שבזי","בן צבי/הגר''א","148","0.177","46","8.1","1.36","32.31523","34.85413","הקו נוסע פי 1.36 מקו 148 בין אותן שתי התחנות (אותו ציר כניסה, סטייה 0°) — עיקוף אמיתי."
"אמיתי","604","מטרופולין","detour","שד. בנימין/שלום שבזי","בן צבי/הגר''א","148","0.177","4","0.7","1.36","32.31523","34.85413","הקו נוסע פי 1.36 מקו 148 בין אותן שתי התחנות (אותו ציר כניסה, סטייה 0°) — עיקוף אמיתי."
"אמיתי","619","מטרופולין","detour","שד. בנימין/שלום שבזי","בן צבי/הגר''א","148","0.177","7","1.2","1.36","32.31523","34.85413","הקו נוסע פי 1.36 מקו 148 בין אותן שתי התחנות (אותו ציר כניסה, סטייה 0°) — עיקוף אמיתי."
"אמיתי","149","אקסטרה","detour","שד. בנימין/שלום שבזי","בן צבי/הגר''א","148","0.177","1","0.2","1.36","32.31523","34.85413","הקו נוסע פי 1.36 מקו 148 בין אותן שתי התחנות (אותו ציר כניסה, סטייה 0°) — עיקוף אמיתי."
"אמיתי","16","דן באר שבע","selfloop","ש'ד יעלים / ש''י עגנון","שדרות יעלים/העלייה","9","0.175","1","0.2","","31.25197","34.7784","הקו מקיף ~1.38 סיבובים (כיכר/לולאה) בין ""ש'ד יעלים / ש''י עגנון"" ל-""שדרות יעלים/העלייה"", בעוד קו 9 עובר אותו ב-0.4 ק""מ — סיבוב מיותר, עיקוף אמיתי."
"אמיתי","333","אלקטרה אפיקים","selfloop","שדרות יצחק רבין/שדרות בני ברית","שדרות יצחק רבין/כוכב הדרום","10","0.175","1","0.2","","31.77376","34.63717","הקו מקיף ~1.38 סיבובים (כיכר/לולאה) בין ""שדרות יצחק רבין/שדרות בני ברית"" ל-""שדרות יצחק רבין/כוכב הדרום"", בעוד קו 10 עובר אותו ב-0.4 ק""מ — סיבוב מיותר, עיקוף אמיתי."
"אמיתי","357","מטרופולין","selfloop","המעפיל/בן גוריון","בן גוריון/בית ספר בן עטר","47","0.174","1","0.2","","31.072","35.03598","הקו מקיף ~2.75 סיבובים (כיכר/לולאה) בין ""המעפיל/בן גוריון"" ל-""בן גוריון/בית ספר בן עטר"", בעוד קו 47 עובר אותו ב-0.3 ק""מ — סיבוב מיותר, עיקוף אמיתי."
"ספק","40","אגד","detour","העירייה","הרצל/הלל יפה","41","0.167","28","4.7","1.58","32.81246","34.9976","הקו הנבדק מגיע לתחנה ""העירייה"" מתחנה קודמת (תחנת כרמלית/הנביאים) שונה מזו של קו 41 (הנביאים/אחד העם). במקטע קצר זו אינה השוואה נקייה — ייתכן שהסטייה נובעת ממסלול גישה שונה ולא מעיקוף ודאי. נדרשת בדיקה אנושית."
"אמיתי","27","קווים","detour","מרדכי (מוטה) גור/חטיבת הראל","מרדכי (מוטה) גור/עמק בית שאן","50","0.165","2","0.3","1.66","31.91259","34.9986","הקו נוסע פי 1.66 מקו 50 בין אותן שתי התחנות (אותו ציר כניסה, סטייה 0°) — עיקוף אמיתי."
